Group,Image Name,Prolif MG,MG,Total Cells,Prolif Cells,Norm to MG,Norm to All Cells,Norm to All Cells
1d,'1dM2S3_Series001_composite.tiff',17,2157,3988,197,0.00788131664348632,0.540872617853561,0.0493981945837513
1d,'1dM2s1_Series002.tif',15,2819,575,70,0.00532103582830791,4.90260869565217,0.121739130434783
1d,'1dM2s1_Series003.tif',16,2617,388,61,0.00611387084447841,6.74484536082474,0.157216494845361
1d,'GroupA_1.tif',39,3144,641,82,0.0124045801526718,4.90483619344774,0.12792511700468
1d,'GroupA_3.tif',27,4130,566,54,0.00653753026634383,7.29681978798587,0.0954063604240283
3d,'3dM1S1_Series001_composite.tiff',5,1967,3140,134,0.0025419420437214,0.626433121019108,0.0426751592356688
3d,'3dM1S1_Series002_composite.tiff',7,2691,2623,158,0.00260126347082869,1.02592451391536,0.0602363705680518
3d,'3dM2S1_Series01.tif',7,3292,1595,37,0.00212636695018226,2.06394984326019,0.0231974921630094
3d,'3dM2S2_Series002_composite.tiff',6,2780,471,6,0.00215827338129496,5.90233545647558,0.0127388535031847
3d,'3dM2s1_Series002.tif',18,2911,447,133,0.0061834421161113,6.51230425055928,0.297539149888143
3d,'3dM3s1_Series001.tif',11,2781,460,37,0.00395541172240201,6.04565217391304,0.0804347826086957
3d,'3dM3s1_Series002.tif',21,3017,2860,103,0.00696055684454756,1.0548951048951,0.036013986013986
3d,'3dM3s1_Series004.tif',24,3060,387,75,0.00784313725490196,7.90697674418605,0.193798449612403
3d,'3dM3s1_Series008.tif',40,3304,410,210,0.0121065375302663,8.05853658536585,0.51219512195122
3d,'3dM3s1_Series011.tif',26,3353,370,222,0.0077542499254399,9.06216216216216,0.6
3d,'GroupB_2.tif',31,3407,399,151,0.00909891400058703,8.53884711779449,0.378446115288221
3d,'GroupB_3.tif',20,3129,350,74,0.00639181847235539,8.94,0.211428571428571
3d,'GroupB_4.tif',25,3091,427,165,0.00808799741184083,7.23887587822014,0.386416861826698
3d,'GroupB_5.tif',24,2982,473,47,0.00804828973843058,6.30443974630021,0.0993657505285412
3d,'MAX_3dM2.tif',25,3265,579,36,0.00765696784073507,5.63903281519862,0.0621761658031088
3d,'GroupC_1.tif',25,2631,418,32,0.00950209045990118,6.29425837320574,0.076555023923445
3d,'GroupC_2.tif',22,3638,744,11,0.00604727872457394,4.88978494623656,0.0147849462365591
3d,'GroupC_3.tif',50,3478,969,516,0.0143760782058654,3.58926728586171,0.53250773993808
3d,'GroupC_4.tif',20,3424,1148,18,0.0058411214953271,2.98257839721254,0.0156794425087108
3d,'GroupC_5.tif',21,3829,733,15,0.00548446069469835,5.2237380627558,0.0204638472032742
Naive,'NaiveM1S2_Series001_composite.tiff',3,4634,3016,12,0.000647388864911524,1.53647214854111,0.00397877984084881
Naive,'NaiveM1S2_Series002_composite.tiff',4,4004,3403,13,0.000999000999000999,1.17660887452248,0.00382015868351455
Naive,'NaiveM2S2_Series001_composite.tiff',1,3536,3164,15,0.000282805429864253,1.11757269279393,0.00474083438685209
Naive,'NaiveM2S2_Series002_composite.tiff',0,2179,4149,27,0,0.525186791998072,0.00650759219088937
Naive,'NaiveM2S2_Series003_composite.tiff',4,2660,3309,9,0.00150375939849624,0.80386823813841,0.00271985494106981
Naive,'NaiveM2S2_Series004_composite.tiff',5,2752,4117,27,0.00181686046511628,0.66844789895555,0.00655817342725285
Naive,'NaiveM3S1_Series001_composite.tiff',6,3260,4251,19,0.00184049079754601,0.766878381557281,0.00446953657962832
Naive,'NaiveM3S1_Series002_composite.tiff',5,3073,2718,39,0.00162707452001302,1.13061074319352,0.0143487858719647